Date,ProductID,Price_USD,UnitsSold,PromotionFlag
21/04/2024,Prod_1,2.02,496,1
22/04/2024,Prod_1,30.99,68,0
23/04/2024,Prod_1,2.07,375,0
24/04/2024,Prod_1,49.69,325,0
25/04/2024,Prod_1,9.99,42,1
26/04/2024,Prod_1,35.82,110,0
27/04/2024,Prod_1,8.6,41,0
28/04/2024,Prod_1,27.46,306,0
29/04/2024,Prod_1,4.95,468,0
30/04/2024,Prod_1,38.57,6,0
01/05/2024,Prod_1,29.66,331,0
02/05/2024,Prod_1,5.22,181,1
03/05/2024,Prod_1,42.58,273,1
04/05/2024,Prod_1,27.8,361,1
05/05/2024,Prod_1,46.16,185,1
06/05/2024,Prod_1,45.91,323,0
07/05/2024,Prod_1,46.1,144,1
08/05/2024,Prod_1,4.81,436,0
09/05/2024,Prod_1,6.93,100,1
10/05/2024,Prod_1,49.4,90,0
11/05/2024,Prod_1,24.89,472,0
12/05/2024,Prod_1,12.67,246,1
13/05/2024,Prod_1,38.71,239,0
14/05/2024,Prod_1,13.95,418,0
15/05/2024,Prod_1,36.63,212,0
16/05/2024,Prod_1,42.03,81,0
17/05/2024,Prod_1,39.43,115,0
18/05/2024,Prod_1,14.43,276,0
19/05/2024,Prod_1,20.68,80,0
20/05/2024,Prod_1,21.25,56,0
21/05/2024,Prod_1,25.07,179,0
22/05/2024,Prod_1,9.2,309,0
23/05/2024,Prod_1,23.17,49,0
24/05/2024,Prod_1,26.03,260,0
25/05/2024,Prod_1,27.05,274,0
26/05/2024,Prod_1,41.18,292,0
27/05/2024,Prod_1,26.35,373,1
28/05/2024,Prod_1,12.31,291,1
29/05/2024,Prod_1,33.49,30,1
30/05/2024,Prod_1,40.07,374,0
31/05/2024,Prod_1,16.65,252,0
01/06/2024,Prod_1,32.62,63,0
02/06/2024,Prod_1,8.2,82,0
03/06/2024,Prod_1,17.75,405,1
04/06/2024,Prod_1,45.55,436,0
05/06/2024,Prod_1,45.65,480,0
06/06/2024,Prod_1,29.19,325,0
07/06/2024,Prod_1,35.42,381,0
08/06/2024,Prod_1,42.85,169,0
09/06/2024,Prod_1,47.97,310,0
10/06/2024,Prod_1,25,343,0
11/06/2024,Prod_1,28.52,158,0
12/06/2024,Prod_1,21.37,475,0
13/06/2024,Prod_1,4.53,56,1
14/06/2024,Prod_1,21.72,335,1
15/06/2024,Prod_1,39.74,425,1
16/06/2024,Prod_1,40.44,142,0
17/06/2024,Prod_1,44.73,149,0
18/06/2024,Prod_1,3.52,376,1
19/06/2024,Prod_1,26.83,226,0
20/06/2024,Prod_1,6.26,474,0
21/06/2024,Prod_1,10.84,25,0
22/06/2024,Prod_1,45.11,178,0
23/06/2024,Prod_1,25.34,365,0
24/06/2024,Prod_1,38.17,95,1
25/06/2024,Prod_1,4.15,53,0
26/06/2024,Prod_1,21.42,304,0
27/06/2024,Prod_1,34.04,70,0
28/06/2024,Prod_1,7.54,176,0
29/06/2024,Prod_1,16.97,132,0
30/06/2024,Prod_1,4.16,408,0
01/01/2024,Prod_2,32.92,490,0
02/01/2024,Prod_2,48.57,415,1
03/01/2024,Prod_2,41.53,339,0
04/01/2024,Prod_2,48.76,459,0
05/01/2024,Prod_2,42.43,413,0
06/01/2024,Prod_2,42.9,389,0
07/01/2024,Prod_2,29.28,338,0
08/01/2024,Prod_2,26.39,451,0
09/01/2024,Prod_2,20.91,360,1
10/01/2024,Prod_2,41.09,331,0
11/01/2024,Prod_2,9.92,213,0
12/01/2024,Prod_2,3.76,478,0
13/01/2024,Prod_2,47.45,211,1
14/01/2024,Prod_2,1.19,437,0
15/01/2024,Prod_2,48.86,345,0
16/01/2024,Prod_2,36.71,64,1
17/01/2024,Prod_2,17.1,35,0
18/01/2024,Prod_2,35.19,12,0
19/01/2024,Prod_2,41.08,431,0
20/01/2024,Prod_2,13.02,346,1
21/01/2024,Prod_2,38.77,311,1
22/01/2024,Prod_2,40.41,248,1
23/01/2024,Prod_2,13.22,112,1
24/01/2024,Prod_2,3.05,325,0
25/01/2024,Prod_2,11,467,0
26/01/2024,Prod_2,10.83,91,0
27/01/2024,Prod_2,4.2,294,1
28/01/2024,Prod_2,36.57,29,0
29/01/2024,Prod_2,19.62,12,1
30/01/2024,Prod_2,44.33,147,0
31/01/2024,Prod_2,13.36,137,1
01/02/2024,Prod_2,23.21,338,0
02/02/2024,Prod_2,32.31,157,1
03/02/2024,Prod_2,44,259,0
04/02/2024,Prod_2,26.71,87,0
05/02/2024,Prod_2,19.3,158,0
06/02/2024,Prod_2,43.48,494,0
07/02/2024,Prod_2,16.2,186,0
08/02/2024,Prod_2,4.89,344,1
09/02/2024,Prod_2,22.81,309,0
10/02/2024,Prod_2,39.47,357,0
11/02/2024,Prod_2,2.51,229,0
12/02/2024,Prod_2,29.71,4,0
13/02/2024,Prod_2,30.13,57,1
14/02/2024,Prod_2,46.5,438,1
15/02/2024,Prod_2,15.04,28,1
16/02/2024,Prod_2,14.66,16,0
17/02/2024,Prod_2,22.58,13,0
18/02/2024,Prod_2,18.49,200,0
19/02/2024,Prod_2,37.08,184,0
20/02/2024,Prod_2,32.45,309,1
21/02/2024,Prod_2,38.19,304,0
22/02/2024,Prod_2,41.18,281,0
23/02/2024,Prod_2,46.23,322,1
24/02/2024,Prod_2,22.12,158,0
25/02/2024,Prod_2,49.25,360,0
26/02/2024,Prod_2,11.57,259,1
27/02/2024,Prod_2,36,407,0
28/02/2024,Prod_2,27.17,157,1
29/02/2024,Prod_2,41.03,425,0
01/03/2024,Prod_2,24.36,94,0
02/03/2024,Prod_2,39.41,267,0
03/03/2024,Prod_2,46.58,21,0
04/03/2024,Prod_2,36.88,127,0
05/03/2024,Prod_2,39.03,347,0
06/03/2024,Prod_2,4.29,408,0
07/03/2024,Prod_2,11.04,351,0
08/03/2024,Prod_2,48.74,350,0
09/03/2024,Prod_2,34.97,449,0
10/03/2024,Prod_2,28.51,385,1
11/03/2024,Prod_2,18.98,438,1
12/03/2024,Prod_2,3.18,456,0
13/03/2024,Prod_2,19.09,112,0
14/03/2024,Prod_2,25.45,234,0
15/03/2024,Prod_2,11.36,34,0
16/03/2024,Prod_2,9.48,80,0
17/03/2024,Prod_2,25.91,475,0
18/03/2024,Prod_2,29.71,452,0
19/03/2024,Prod_2,12.76,83,0
20/03/2024,Prod_2,29.78,29,1
21/03/2024,Prod_2,45.12,489,0
22/03/2024,Prod_2,24.19,131,0
23/03/2024,Prod_2,43.01,11,1
24/03/2024,Prod_2,46.44,392,1
25/03/2024,Prod_2,5.53,62,0
26/03/2024,Prod_2,5.69,359,1
27/03/2024,Prod_2,24.33,33,0
28/03/2024,Prod_2,29.82,136,0
29/03/2024,Prod_2,21.87,409,0
30/03/2024,Prod_2,17,88,1
31/03/2024,Prod_2,32.41,410,0
01/04/2024,Prod_2,1.1,410,0
02/04/2024,Prod_2,48.44,17,0
03/04/2024,Prod_2,12.37,91,0
04/04/2024,Prod_2,45.94,413,0
05/04/2024,Prod_2,6.34,299,0
06/04/2024,Prod_2,12.67,487,0
07/04/2024,Prod_2,12.51,253,0
08/04/2024,Prod_2,49.81,73,0
09/04/2024,Prod_2,1.23,206,1
10/04/2024,Prod_2,32.34,261,0
11/04/2024,Prod_2,43.61,178,0
12/04/2024,Prod_2,33.94,478,1
13/04/2024,Prod_2,18.77,312,0
14/04/2024,Prod_2,47.96,447,0
15/04/2024,Prod_2,44.78,313,0
16/04/2024,Prod_2,22.26,220,0
17/04/2024,Prod_2,29.09,173,0
18/04/2024,Prod_2,48.41,165,0
19/04/2024,Prod_2,49.15,328,0
20/04/2024,Prod_2,23.04,335,0
21/04/2024,Prod_2,42.52,220,0
22/04/2024,Prod_2,15.8,292,1
23/04/2024,Prod_2,19.22,161,1
24/04/2024,Prod_2,9.08,390,0
25/04/2024,Prod_2,11.25,248,0
26/04/2024,Prod_2,33.19,371,0
27/04/2024,Prod_2,26.03,460,0
28/04/2024,Prod_2,12.33,71,1
29/04/2024,Prod_2,20.74,429,0
30/04/2024,Prod_2,19.29,92,0
01/05/2024,Prod_2,49.38,391,0
02/05/2024,Prod_2,42.82,361,0
03/05/2024,Prod_2,20.01,321,0
04/05/2024,Prod_2,45.78,245,0
05/05/2024,Prod_2,17.79,24,0
06/05/2024,Prod_2,33.73,45,1
07/05/2024,Prod_2,48.37,189,0
08/05/2024,Prod_2,20.12,403,1
09/05/2024,Prod_2,34.31,373,1
10/05/2024,Prod_2,15.5,416,0
11/05/2024,Prod_2,14.05,286,0
12/05/2024,Prod_2,29.13,321,0
13/05/2024,Prod_2,48.98,416,0
14/05/2024,Prod_2,23.2,441,0
15/05/2024,Prod_2,46.94,404,0
16/05/2024,Prod_2,45.8,341,0
17/05/2024,Prod_2,13.43,83,1
18/05/2024,Prod_2,20.69,222,1
19/05/2024,Prod_2,32.52,370,0
20/05/2024,Prod_2,26.38,476,0
21/05/2024,Prod_2,5.7,352,1
22/05/2024,Prod_2,49.69,414,0
23/05/2024,Prod_2,37.88,343,0
24/05/2024,Prod_2,22.45,219,0
25/05/2024,Prod_2,31.29,485,1
26/05/2024,Prod_2,5.29,443,0
27/05/2024,Prod_2,25.27,218,0
28/05/2024,Prod_2,46.61,190,0
29/05/2024,Prod_2,44.93,67,1
30/05/2024,Prod_2,17.53,31,1
31/05/2024,Prod_2,27.04,322,0
01/06/2024,Prod_2,35.17,250,1
02/06/2024,Prod_2,17.66,54,0
03/06/2024,Prod_2,4.18,10,0
04/06/2024,Prod_2,25.77,166,1
05/06/2024,Prod_2,30.48,339,0
06/06/2024,Prod_2,1.29,415,0
07/06/2024,Prod_2,5.68,285,0
08/06/2024,Prod_2,11.16,153,1
09/06/2024,Prod_2,18.05,32,1
10/06/2024,Prod_2,27.51,17,1
11/06/2024,Prod_2,15.4,371,0
12/06/2024,Prod_2,14.53,301,1
13/06/2024,Prod_2,43.6,305,0
14/06/2024,Prod_2,8.11,343,0
15/06/2024,Prod_2,25.28,146,1
16/06/2024,Prod_2,47.69,75,0
17/06/2024,Prod_2,31.63,379,0
18/06/2024,Prod_2,36.14,124,0
19/06/2024,Prod_2,22.13,52,0
20/06/2024,Prod_2,1.98,404,0
21/06/2024,Prod_2,32.66,190,0
22/06/2024,Prod_2,31.96,141,0
23/06/2024,Prod_2,6.41,88,0
24/06/2024,Prod_2,23.65,427,1
25/06/2024,Prod_2,45.85,84,0
26/06/2024,Prod_2,11.05,243,0
27/06/2024,Prod_2,23.59,106,0
28/06/2024,Prod_2,23.59,92,1
29/06/2024,Prod_2,40.73,355,0
30/06/2024,Prod_2,41.4,21,0
01/01/2024,Prod_3,38.2,6,1
02/01/2024,Prod_3,18.91,455,0
03/01/2024,Prod_3,4.53,221,1
04/01/2024,Prod_3,18.12,309,0
05/01/2024,Prod_3,34.31,87,0
06/01/2024,Prod_3,35.43,180,0
07/01/2024,Prod_3,48.29,453,0
08/01/2024,Prod_3,23.23,342,1
09/01/2024,Prod_3,31.99,393,1
10/01/2024,Prod_3,27.42,352,1
11/01/2024,Prod_3,8.38,246,1
12/01/2024,Prod_3,23.6,458,1
13/01/2024,Prod_3,27.7,174,0
14/01/2024,Prod_3,47.59,491,1
15/01/2024,Prod_3,18.96,113,0
16/01/2024,Prod_3,49.02,476,0
17/01/2024,Prod_3,27.57,459,0
18/01/2024,Prod_3,12.88,71,1
19/01/2024,Prod_3,10.39,158,0
20/01/2024,Prod_3,7.94,299,1
21/01/2024,Prod_3,23.19,237,0
22/01/2024,Prod_3,2.07,187,1
23/01/2024,Prod_3,22.81,243,1
24/01/2024,Prod_3,49.43,166,0
25/01/2024,Prod_3,33.84,34,1
26/01/2024,Prod_3,38.23,255,0
27/01/2024,Prod_3,6.83,302,0
28/01/2024,Prod_3,24.18,220,1
29/01/2024,Prod_3,15.02,32,0
30/01/2024,Prod_3,44.81,400,0
31/01/2024,Prod_3,9.88,423,0
01/02/2024,Prod_3,23.48,257,0
02/02/2024,Prod_3,29.81,482,0
03/02/2024,Prod_3,26.19,233,0
04/02/2024,Prod_3,41.68,441,1
05/02/2024,Prod_3,12.34,215,0
06/02/2024,Prod_3,19.49,242,0
07/02/2024,Prod_3,39.81,245,1
08/02/2024,Prod_3,26.88,20,1
09/02/2024,Prod_3,20.7,210,1
10/02/2024,Prod_3,2.44,210,0
11/02/2024,Prod_3,37.92,426,0
12/02/2024,Prod_3,48.64,488,0
13/02/2024,Prod_3,31.39,469,0
14/02/2024,Prod_3,42.97,72,1
15/02/2024,Prod_3,26.33,162,0
16/02/2024,Prod_3,12.35,178,0
17/02/2024,Prod_3,1.71,11,0
18/02/2024,Prod_3,33.02,363,0
19/02/2024,Prod_3,25.16,499,0
20/02/2024,Prod_3,39.32,299,1
21/02/2024,Prod_3,35.04,266,0
22/02/2024,Prod_3,49.41,8,0
23/02/2024,Prod_3,26.01,495,0
24/02/2024,Prod_3,21.93,456,0
25/02/2024,Prod_3,15.05,275,0
26/02/2024,Prod_3,24.37,193,0
27/02/2024,Prod_3,43.77,311,0
28/02/2024,Prod_3,3.08,436,1
29/02/2024,Prod_3,48.92,259,0
01/03/2024,Prod_3,49.67,53,0
02/03/2024,Prod_3,30.29,300,0
03/03/2024,Prod_3,17.25,96,0
04/03/2024,Prod_3,11.93,304,0
05/03/2024,Prod_3,14.55,310,0
06/03/2024,Prod_3,3.46,400,0
07/03/2024,Prod_3,24.28,414,0
08/03/2024,Prod_3,3.81,497,0
09/03/2024,Prod_3,36.21,92,0
10/03/2024,Prod_3,19.22,412,0
11/03/2024,Prod_3,10.77,144,1
12/03/2024,Prod_3,27.7,489,0
13/03/2024,Prod_3,48.71,307,0
14/03/2024,Prod_3,35.06,417,1
15/03/2024,Prod_3,25.1,409,0
16/03/2024,Prod_3,39.07,18,0
17/03/2024,Prod_3,37.14,126,1
18/03/2024,Prod_3,44.7,154,0
19/03/2024,Prod_3,11.03,6,1
20/03/2024,Prod_3,43.09,422,0
21/03/2024,Prod_3,15.75,428,0
22/03/2024,Prod_3,47.11,451,0
23/03/2024,Prod_3,14.77,427,0
24/03/2024,Prod_3,46.42,390,0
25/03/2024,Prod_3,48.23,334,0
26/03/2024,Prod_3,8.13,448,0
27/03/2024,Prod_3,48.75,338,0
28/03/2024,Prod_3,5.2,336,0
29/03/2024,Prod_3,11.71,88,1
30/03/2024,Prod_3,22.76,269,1
31/03/2024,Prod_3,49.69,65,1
01/04/2024,Prod_3,24.94,166,0
02/04/2024,Prod_3,27.97,64,0
03/04/2024,Prod_3,35.03,270,0
04/04/2024,Prod_3,48.45,145,0
05/04/2024,Prod_3,39.38,377,0
06/04/2024,Prod_3,11.98,333,0
07/04/2024,Prod_3,15.85,269,0
08/04/2024,Prod_3,5.78,329,0
09/04/2024,Prod_3,32.58,390,0
10/04/2024,Prod_3,9.86,6,0
11/04/2024,Prod_3,13.61,121,0
12/04/2024,Prod_3,44.52,350,0
13/04/2024,Prod_3,17.01,421,0
14/04/2024,Prod_3,28.77,313,1
15/04/2024,Prod_3,20.48,309,0
16/04/2024,Prod_3,4.63,302,1
17/04/2024,Prod_3,18.78,334,0
18/04/2024,Prod_3,21,132,0
19/04/2024,Prod_3,44.89,290,0
20/04/2024,Prod_3,16.9,450,1
21/04/2024,Prod_3,19.58,447,0
22/04/2024,Prod_3,39.36,189,0
23/04/2024,Prod_3,38.19,209,0
24/04/2024,Prod_3,40.12,42,0
25/04/2024,Prod_3,47.73,78,0
26/04/2024,Prod_3,39.98,320,0
27/04/2024,Prod_3,20.97,499,0
28/04/2024,Prod_3,41.25,145,0
29/04/2024,Prod_3,25.93,445,1
30/04/2024,Prod_3,14.61,374,0
01/05/2024,Prod_3,15.84,286,0
02/05/2024,Prod_3,11.97,171,1
03/05/2024,Prod_3,8.1,93,0
04/05/2024,Prod_3,10.04,263,0
05/05/2024,Prod_3,4.1,457,0
06/05/2024,Prod_3,44.53,430,0
07/05/2024,Prod_3,46.62,23,0
08/05/2024,Prod_3,29.75,292,1
09/05/2024,Prod_3,42.18,142,0
10/05/2024,Prod_3,9.99,148,0
11/05/2024,Prod_3,45.18,440,1
12/05/2024,Prod_3,25.81,116,1
13/05/2024,Prod_3,4.29,81,0
14/05/2024,Prod_3,7.92,416,1
15/05/2024,Prod_3,16.14,25,0
16/05/2024,Prod_3,3.13,115,1
17/05/2024,Prod_3,16.16,94,1
18/05/2024,Prod_3,3.94,305,0
19/05/2024,Prod_3,12.57,185,0
20/05/2024,Prod_3,14.02,283,0
21/05/2024,Prod_3,49.72,155,0
22/05/2024,Prod_3,12.54,174,0
23/05/2024,Prod_3,12.72,351,1
24/05/2024,Prod_3,34.65,173,0
25/05/2024,Prod_3,43.11,154,0
26/05/2024,Prod_3,19.97,14,1
27/05/2024,Prod_3,43.91,378,0
28/05/2024,Prod_3,17.67,304,0
29/05/2024,Prod_3,10.65,128,0
30/05/2024,Prod_3,17.15,341,0
31/05/2024,Prod_3,30.86,92,0
01/06/2024,Prod_3,18.99,271,1
02/06/2024,Prod_3,33.97,222,0
03/06/2024,Prod_3,12.61,473,0
04/06/2024,Prod_3,35.35,307,0
05/06/2024,Prod_3,18.02,310,0
06/06/2024,Prod_3,23.34,395,0
07/06/2024,Prod_3,28.33,108,0
08/06/2024,Prod_3,34.63,331,1
09/06/2024,Prod_3,12.7,28,0
10/06/2024,Prod_3,41.96,439,0
11/06/2024,Prod_3,36.37,197,0
12/06/2024,Prod_3,12.47,476,1
13/06/2024,Prod_3,48.77,200,0
14/06/2024,Prod_3,33.58,154,0
15/06/2024,Prod_3,23.17,384,0
16/06/2024,Prod_3,8.72,70,0
17/06/2024,Prod_3,27.13,160,0
18/06/2024,Prod_3,9.07,432,1
19/06/2024,Prod_3,22.05,352,1
20/06/2024,Prod_3,21.03,396,0
21/06/2024,Prod_3,36.28,454,0
22/06/2024,Prod_3,10.43,461,0
23/06/2024,Prod_3,41.27,103,0
24/06/2024,Prod_3,16.98,488,0
25/06/2024,Prod_3,22.76,236,0
26/06/2024,Prod_3,38.84,189,0
27/06/2024,Prod_3,31.64,418,0
28/06/2024,Prod_3,16.09,343,0
29/06/2024,Prod_3,19.92,361,0
30/06/2024,Prod_3,15.98,109,0
01/01/2024,Prod_4,30.14,337,0
02/01/2024,Prod_4,17.3,301,0
03/01/2024,Prod_4,36.56,368,0
04/01/2024,Prod_4,29.41,255,1
05/01/2024,Prod_4,8.14,316,0
06/01/2024,Prod_4,16.2,193,0
07/01/2024,Prod_4,11.85,71,0
08/01/2024,Prod_4,20.13,269,0
09/01/2024,Prod_4,26.28,334,0
10/01/2024,Prod_4,25.83,209,0
11/01/2024,Prod_4,37.97,478,0
12/01/2024,Prod_4,10.27,176,0
13/01/2024,Prod_4,47.38,239,0
14/01/2024,Prod_4,17.8,381,0
15/01/2024,Prod_4,15.71,433,0
16/01/2024,Prod_4,34.57,98,0
17/01/2024,Prod_4,40.47,347,1
18/01/2024,Prod_4,19.55,442,0
19/01/2024,Prod_4,37.6,89,1
20/01/2024,Prod_4,44.3,252,0
21/01/2024,Prod_4,38.57,492,0
22/01/2024,Prod_4,2.68,99,0
23/01/2024,Prod_4,41.54,329,0
24/01/2024,Prod_4,38.95,326,1
25/01/2024,Prod_4,33.8,445,0
26/01/2024,Prod_4,38.24,154,0
27/01/2024,Prod_4,48.99,486,0
28/01/2024,Prod_4,22.12,295,0
29/01/2024,Prod_4,4.29,442,0
30/01/2024,Prod_4,23.58,283,1
31/01/2024,Prod_4,3.28,296,0
01/02/2024,Prod_4,15.42,379,0
02/02/2024,Prod_4,29.76,31,0
03/02/2024,Prod_4,16.17,131,1
04/02/2024,Prod_4,34.58,216,1
05/02/2024,Prod_4,41.28,15,0
06/02/2024,Prod_4,21.6,438,1
07/02/2024,Prod_4,45.11,326,0
08/02/2024,Prod_4,4.91,267,0
09/02/2024,Prod_4,42.17,286,0
10/02/2024,Prod_4,41.6,291,0
11/02/2024,Prod_4,16.78,368,0
12/02/2024,Prod_4,15.64,486,0
13/02/2024,Prod_4,15.95,43,0
14/02/2024,Prod_4,40.76,445,0
15/02/2024,Prod_4,41.75,168,0
16/02/2024,Prod_4,17.16,349,1
17/02/2024,Prod_4,30.04,471,0
18/02/2024,Prod_4,7.81,426,0
19/02/2024,Prod_4,23.97,255,0
20/02/2024,Prod_4,49.94,170,1
21/02/2024,Prod_4,8.78,375,0
22/02/2024,Prod_4,47.43,259,0
23/02/2024,Prod_4,41.39,346,0
24/02/2024,Prod_4,48.64,78,1
25/02/2024,Prod_4,9.8,339,0
26/02/2024,Prod_4,11.46,85,0
27/02/2024,Prod_4,1.83,380,0
28/02/2024,Prod_4,36.51,149,1
29/02/2024,Prod_4,32.56,201,0
01/03/2024,Prod_4,9.73,77,0
02/03/2024,Prod_4,39.77,361,0
03/03/2024,Prod_4,15.66,250,0
04/03/2024,Prod_4,7.61,53,0
05/03/2024,Prod_4,21.71,300,1
06/03/2024,Prod_4,5.46,302,1
07/03/2024,Prod_4,13.9,293,0
08/03/2024,Prod_4,19.2,294,0
09/03/2024,Prod_4,42.74,109,0
10/03/2024,Prod_4,39.83,365,0
11/03/2024,Prod_4,22.69,88,0
12/03/2024,Prod_4,36.5,166,0
13/03/2024,Prod_4,28.86,494,0
14/03/2024,Prod_4,17.7,267,0
15/03/2024,Prod_4,36.57,93,1
16/03/2024,Prod_4,34.49,173,0
17/03/2024,Prod_4,31.34,64,1
18/03/2024,Prod_4,31.28,428,1
19/03/2024,Prod_4,34.47,126,1
20/03/2024,Prod_4,19.84,368,0
21/03/2024,Prod_4,43.58,230,0
22/03/2024,Prod_4,8.95,105,0
23/03/2024,Prod_4,44.31,209,1
24/03/2024,Prod_4,17.77,62,0
25/03/2024,Prod_4,7.13,240,1
26/03/2024,Prod_4,30.4,474,0
27/03/2024,Prod_4,19.42,61,0
28/03/2024,Prod_4,40.96,346,0
29/03/2024,Prod_4,22.11,12,1
30/03/2024,Prod_4,33.76,466,0
31/03/2024,Prod_4,16.1,137,0
01/04/2024,Prod_4,11.26,195,0
02/04/2024,Prod_4,20.01,74,0
03/04/2024,Prod_4,30.73,363,0
04/04/2024,Prod_4,33.19,386,0
05/04/2024,Prod_4,29.33,136,0
06/04/2024,Prod_4,49.41,372,0
07/04/2024,Prod_4,34.86,43,1
08/04/2024,Prod_4,46.64,402,1
09/04/2024,Prod_4,6.78,436,0
10/04/2024,Prod_4,4.01,39,0
11/04/2024,Prod_4,16.24,31,0
12/04/2024,Prod_4,7.69,142,1
13/04/2024,Prod_4,26.77,320,0
14/04/2024,Prod_4,26.43,359,0
15/04/2024,Prod_4,29.18,353,0
16/04/2024,Prod_4,37.52,477,0
17/04/2024,Prod_4,48.6,44,0
18/04/2024,Prod_4,44.03,188,1
19/04/2024,Prod_4,6.8,353,0
20/04/2024,Prod_4,17.59,483,0
21/04/2024,Prod_4,13.54,2,0
22/04/2024,Prod_4,9.66,483,1
23/04/2024,Prod_4,27.69,416,0
24/04/2024,Prod_4,28.11,292,0
25/04/2024,Prod_4,12.13,494,0
26/04/2024,Prod_4,35.88,311,1
27/04/2024,Prod_4,36.91,370,0
