Date,StoreID,ProductCategory,UnitsSold,SalesValue,Region
17/01/2024,Store_2,Bakery,179,9.91,East
18/01/2024,Store_2,Bakery,13,29.37,West
19/01/2024,Store_2,Beverages,128,97.25,West
20/01/2024,Store_2,Frozen,152,56.29,West
21/01/2024,Store_2,Beverages,139,37.95,North
22/01/2024,Store_2,Produce,52,88.98,North
23/01/2024,Store_2,Bakery,17,45.86,East
24/01/2024,Store_2,Produce,165,32.21,West
25/01/2024,Store_2,Beverages,13,94.18,South
26/01/2024,Store_2,Frozen,190,85.1,West
27/01/2024,Store_2,Beverages,84,84.52,South
28/01/2024,Store_2,Frozen,97,51.72,South
29/01/2024,Store_2,Frozen,106,79.15,West
30/01/2024,Store_2,Dairy,96,18.76,South
31/01/2024,Store_2,Bakery,8,57.75,South
01/02/2024,Store_2,Beverages,56,98.4,West
02/02/2024,Store_2,Frozen,104,29.8,North
03/02/2024,Store_2,Beverages,83,79.64,West
04/02/2024,Store_2,Beverages,198,49.56,East
05/02/2024,Store_2,Frozen,44,4.94,South
06/02/2024,Store_2,Produce,188,76.54,East
07/02/2024,Store_2,Bakery,103,17.69,South
08/02/2024,Store_2,Bakery,112,63.52,North
09/02/2024,Store_2,Dairy,169,9.48,South
10/02/2024,Store_2,Dairy,149,94.74,West
11/02/2024,Store_2,Dairy,42,29.88,South
12/02/2024,Store_2,Bakery,157,23.42,East
13/02/2024,Store_2,Produce,193,13.78,West
14/02/2024,Store_2,Bakery,145,94.65,East
15/02/2024,Store_2,Bakery,30,71.48,North
16/02/2024,Store_2,Bakery,26,74.42,East
17/02/2024,Store_2,Bakery,181,50.44,East
18/02/2024,Store_2,Produce,125,48,East
19/02/2024,Store_2,Dairy,19,11.89,West
20/02/2024,Store_2,Beverages,53,56.42,North
21/02/2024,Store_2,Dairy,85,25.44,North
22/02/2024,Store_2,Dairy,17,97.74,North
23/02/2024,Store_2,Beverages,174,79.86,East
24/02/2024,Store_2,Bakery,104,41.89,West
25/02/2024,Store_2,Produce,181,15.98,West
26/02/2024,Store_2,Produce,105,78.75,West
27/02/2024,Store_2,Dairy,104,13.08,East
28/02/2024,Store_2,Beverages,192,19.74,North
29/02/2024,Store_2,Frozen,173,21.94,East
01/03/2024,Store_2,Bakery,177,56.13,West
02/03/2024,Store_2,Dairy,147,78.92,East
03/03/2024,Store_2,Produce,124,32.12,South
04/03/2024,Store_2,Beverages,199,9.38,North
05/03/2024,Store_2,Beverages,81,46.99,North
06/03/2024,Store_2,Dairy,193,75.06,West
07/03/2024,Store_2,Frozen,37,22.94,East
08/03/2024,Store_2,Produce,121,22.77,West
09/03/2024,Store_2,Dairy,70,94.78,East
10/03/2024,Store_2,Frozen,154,95.46,South
11/03/2024,Store_2,Beverages,130,99.06,North
12/03/2024,Store_2,Bakery,59,80.96,North
13/03/2024,Store_2,Produce,118,19.63,East
14/03/2024,Store_2,Produce,133,21.99,North
15/03/2024,Store_2,Frozen,37,34.68,East
16/03/2024,Store_2,Dairy,31,32.5,West
17/03/2024,Store_2,Beverages,99,95.7,South
18/03/2024,Store_2,Frozen,94,79.12,East
19/03/2024,Store_2,Bakery,176,72.68,South
20/03/2024,Store_2,Bakery,6,19.41,West
21/03/2024,Store_2,Bakery,15,91.04,West
22/03/2024,Store_2,Frozen,143,82.96,West
23/03/2024,Store_2,Beverages,189,17.2,East
24/03/2024,Store_2,Produce,16,87.25,South
25/03/2024,Store_2,Dairy,20,27.95,South
26/03/2024,Store_2,Produce,77,9.01,North
27/03/2024,Store_2,Beverages,44,66.03,East
28/03/2024,Store_2,Produce,170,65.73,North
29/03/2024,Store_2,Frozen,46,10.4,North
30/03/2024,Store_2,Bakery,95,32.57,East
31/03/2024,Store_2,Beverages,162,99.29,North
01/01/2024,Store_3,Beverages,64,68.16,North
02/01/2024,Store_3,Produce,157,73.28,North
03/01/2024,Store_3,Frozen,131,22.08,West
04/01/2024,Store_3,Produce,9,8.8,East
05/01/2024,Store_3,Produce,153,28.41,West
06/01/2024,Store_3,Beverages,42,25.64,North
07/01/2024,Store_3,Produce,174,24.22,North
08/01/2024,Store_3,Bakery,73,20.08,West
09/01/2024,Store_3,Produce,84,57.9,North
10/01/2024,Store_3,Bakery,59,33.48,East
11/01/2024,Store_3,Beverages,21,82.21,South
12/01/2024,Store_3,Frozen,150,19.21,West
13/01/2024,Store_3,Bakery,157,47,South
14/01/2024,Store_3,Frozen,63,2.35,South
15/01/2024,Store_3,Frozen,73,48.69,South
16/01/2024,Store_3,Bakery,61,6.53,West
17/01/2024,Store_3,Beverages,64,97.79,North
18/01/2024,Store_3,Dairy,69,79.27,East
19/01/2024,Store_3,Frozen,168,49.52,North
20/01/2024,Store_3,Frozen,129,9.57,East
21/01/2024,Store_3,Beverages,106,59.65,North
22/01/2024,Store_3,Beverages,65,76.12,South
23/01/2024,Store_3,Produce,122,19.88,South
24/01/2024,Store_3,Beverages,62,57.25,East
25/01/2024,Store_3,Frozen,182,81.61,West
26/01/2024,Store_3,Bakery,103,77.06,North
27/01/2024,Store_3,Dairy,60,80.5,South
28/01/2024,Store_3,Produce,46,88.05,East
29/01/2024,Store_3,Bakery,5,93.83,North
30/01/2024,Store_3,Dairy,113,41.15,East
31/01/2024,Store_3,Dairy,150,57.31,West
01/02/2024,Store_3,Dairy,181,79.28,West
02/02/2024,Store_3,Bakery,70,70.02,North
03/02/2024,Store_3,Produce,160,99.56,West
04/02/2024,Store_3,Produce,11,2.35,North
05/02/2024,Store_3,Dairy,138,36.16,North
06/02/2024,Store_3,Bakery,167,28.82,West
07/02/2024,Store_3,Dairy,98,26.97,East
08/02/2024,Store_3,Beverages,31,23.03,East
09/02/2024,Store_3,Produce,12,71.2,North
10/02/2024,Store_3,Frozen,108,9.39,South
11/02/2024,Store_3,Dairy,80,74.42,North
12/02/2024,Store_3,Beverages,166,69.65,East
13/02/2024,Store_3,Produce,67,25.83,North
14/02/2024,Store_3,Bakery,194,26.03,East
15/02/2024,Store_3,Produce,52,63.26,West
16/02/2024,Store_3,Bakery,133,76.45,North
17/02/2024,Store_3,Bakery,139,87.77,North
18/02/2024,Store_3,Dairy,25,85.36,West
19/02/2024,Store_3,Dairy,35,96.52,West
20/02/2024,Store_3,Produce,163,58.56,South
21/02/2024,Store_3,Beverages,22,90.96,West
22/02/2024,Store_3,Produce,165,81.04,South
23/02/2024,Store_3,Frozen,183,89.57,West
24/02/2024,Store_3,Bakery,96,2.15,East
25/02/2024,Store_3,Bakery,117,96.62,North
26/02/2024,Store_3,Dairy,192,47.88,West
27/02/2024,Store_3,Beverages,20,80.02,East
28/02/2024,Store_3,Dairy,106,13.59,West
29/02/2024,Store_3,Frozen,4,40.2,North
01/03/2024,Store_3,Produce,18,27.87,West
02/03/2024,Store_3,Produce,51,29.87,West
03/03/2024,Store_3,Beverages,196,13.2,North
04/03/2024,Store_3,Dairy,20,80.77,West
05/03/2024,Store_3,Dairy,122,1.91,North
06/03/2024,Store_3,Frozen,137,31.94,South
07/03/2024,Store_3,Produce,80,18.27,West
08/03/2024,Store_3,Dairy,154,59.31,East
09/03/2024,Store_3,Beverages,102,26.17,West
10/03/2024,Store_3,Produce,25,26.64,North
11/03/2024,Store_3,Frozen,196,49.35,North
12/03/2024,Store_3,Beverages,169,65.62,East
13/03/2024,Store_3,Bakery,59,13.01,East
14/03/2024,Store_3,Frozen,45,18.38,North
15/03/2024,Store_3,Beverages,41,25.47,South
16/03/2024,Store_3,Dairy,38,97.4,South
17/03/2024,Store_3,Bakery,117,40.32,North
18/03/2024,Store_3,Frozen,19,60.3,South
19/03/2024,Store_3,Dairy,14,24.91,East
20/03/2024,Store_3,Bakery,127,49.56,South
21/03/2024,Store_3,Produce,149,8.34,East
22/03/2024,Store_3,Dairy,143,4.44,West
23/03/2024,Store_3,Beverages,3,47.4,East
24/03/2024,Store_3,Frozen,37,40.47,West
25/03/2024,Store_3,Bakery,117,14.55,East
26/03/2024,Store_3,Dairy,174,69.07,East
27/03/2024,Store_3,Produce,16,99.3,South
28/03/2024,Store_3,Frozen,142,40.17,East
29/03/2024,Store_3,Frozen,9,62.83,North
30/03/2024,Store_3,Dairy,7,96.33,West
31/03/2024,Store_3,Produce,142,83.32,West
01/01/2024,Store_4,Bakery,134,46.89,East
02/01/2024,Store_4,Dairy,15,74.01,North
03/01/2024,Store_4,Bakery,180,13.69,East
04/01/2024,Store_4,Frozen,72,51.7,East
05/01/2024,Store_4,Bakery,162,28.63,South
06/01/2024,Store_4,Produce,104,16.96,East
07/01/2024,Store_4,Beverages,129,43.2,East
08/01/2024,Store_4,Produce,96,13.97,South
09/01/2024,Store_4,Bakery,122,70.2,South
10/01/2024,Store_4,Dairy,115,46.17,North
11/01/2024,Store_4,Frozen,197,53.58,South
12/01/2024,Store_4,Beverages,148,15.49,West
13/01/2024,Store_4,Dairy,80,14.84,West
14/01/2024,Store_4,Dairy,7,58.76,North
15/01/2024,Store_4,Produce,135,98.52,East
16/01/2024,Store_4,Bakery,50,10.53,North
17/01/2024,Store_4,Produce,130,29.29,South
18/01/2024,Store_4,Bakery,47,87.08,East
19/01/2024,Store_4,Produce,14,8.15,North
20/01/2024,Store_4,Dairy,31,87.71,North
21/01/2024,Store_4,Frozen,50,52.9,West
22/01/2024,Store_4,Bakery,189,41.42,North
23/01/2024,Store_4,Beverages,41,31.66,East
24/01/2024,Store_4,Beverages,14,30.41,North
25/01/2024,Store_4,Dairy,133,31.27,North
26/01/2024,Store_4,Produce,5,88.6,South
27/01/2024,Store_4,Produce,192,72.66,North
28/01/2024,Store_4,Dairy,157,67.3,East
29/01/2024,Store_4,Beverages,5,80.08,West
30/01/2024,Store_4,Beverages,113,26.45,West
31/01/2024,Store_4,Produce,118,62.19,West
01/02/2024,Store_4,Bakery,96,46.55,West
02/02/2024,Store_4,Frozen,36,78.46,South
03/02/2024,Store_4,Bakery,79,31.62,East
04/02/2024,Store_4,Beverages,19,64.67,South
05/02/2024,Store_4,Bakery,192,88.34,West
06/02/2024,Store_4,Frozen,22,40.81,South
07/02/2024,Store_4,Bakery,162,7.6,North
08/02/2024,Store_4,Bakery,56,52.09,East
09/02/2024,Store_4,Bakery,17,35.25,North
10/02/2024,Store_4,Bakery,184,67.55,South
11/02/2024,Store_4,Dairy,17,95.15,North
12/02/2024,Store_4,Beverages,146,49.08,South
13/02/2024,Store_4,Frozen,173,47.15,South
14/02/2024,Store_4,Beverages,78,65.8,East
15/02/2024,Store_4,Dairy,56,11.25,East
16/02/2024,Store_4,Dairy,80,26.1,East
17/02/2024,Store_4,Dairy,50,91.98,West
18/02/2024,Store_4,Dairy,58,67.32,East
19/02/2024,Store_4,Bakery,18,2.33,North
20/02/2024,Store_4,Beverages,135,21.26,East
21/02/2024,Store_4,Produce,76,68.6,East
22/02/2024,Store_4,Frozen,10,76.68,East
23/02/2024,Store_4,Dairy,69,84.15,South
24/02/2024,Store_4,Beverages,85,29.93,South
25/02/2024,Store_4,Dairy,131,93.17,East
26/02/2024,Store_4,Dairy,83,55.74,South
27/02/2024,Store_4,Dairy,109,69.96,South
28/02/2024,Store_4,Dairy,44,60.08,West
29/02/2024,Store_4,Dairy,198,13.15,North
01/03/2024,Store_4,Frozen,142,96.35,South
02/03/2024,Store_4,Beverages,132,13.16,North
03/03/2024,Store_4,Dairy,18,26.23,South
04/03/2024,Store_4,Dairy,93,81.55,East
05/03/2024,Store_4,Dairy,180,62.24,South
06/03/2024,Store_4,Dairy,38,83.98,South
07/03/2024,Store_4,Bakery,148,52.06,North
08/03/2024,Store_4,Bakery,172,38.32,East
09/03/2024,Store_4,Produce,51,92.26,West
10/03/2024,Store_4,Dairy,19,4.59,North
11/03/2024,Store_4,Produce,120,85.76,East
12/03/2024,Store_4,Frozen,68,23.85,East
13/03/2024,Store_4,Produce,66,85.02,North
14/03/2024,Store_4,Beverages,141,14.78,South
15/03/2024,Store_4,Bakery,190,58.44,East
16/03/2024,Store_4,Bakery,189,88.92,West
17/03/2024,Store_4,Dairy,158,47.88,South
18/03/2024,Store_4,Dairy,98,74.91,North
19/03/2024,Store_4,Frozen,158,80.66,North
20/03/2024,Store_4,Frozen,179,73.91,North
21/03/2024,Store_4,Beverages,88,92.61,North
22/03/2024,Store_4,Dairy,176,45.24,West
23/03/2024,Store_4,Dairy,33,18.14,West
24/03/2024,Store_4,Frozen,105,5.73,East
25/03/2024,Store_4,Frozen,74,25.4,West
26/03/2024,Store_4,Frozen,82,15.18,North
27/03/2024,Store_4,Bakery,19,56.24,West
28/03/2024,Store_4,Produce,71,19.31,South
29/03/2024,Store_4,Produce,57,4.85,South
30/03/2024,Store_4,Dairy,147,4.56,East
31/03/2024,Store_4,Bakery,79,83.33,North
01/01/2024,Store_5,Frozen,169,59.55,West
02/01/2024,Store_5,Dairy,42,36.45,East
03/01/2024,Store_5,Bakery,180,89.53,East
04/01/2024,Store_5,Beverages,116,7.95,West
05/01/2024,Store_5,Bakery,4,98.05,East
06/01/2024,Store_5,Dairy,4,62.01,North
07/01/2024,Store_5,Produce,5,19.16,West
08/01/2024,Store_5,Frozen,41,68.23,South
09/01/2024,Store_5,Beverages,108,76.57,South
10/01/2024,Store_5,Bakery,87,43.5,West
11/01/2024,Store_5,Dairy,104,86.3,East
12/01/2024,Store_5,Dairy,117,15.92,East
13/01/2024,Store_5,Frozen,101,28.6,South
14/01/2024,Store_5,Dairy,189,10.26,South
15/01/2024,Store_5,Dairy,75,21.88,North
16/01/2024,Store_5,Frozen,183,24.63,East
17/01/2024,Store_5,Beverages,75,91.85,North
18/01/2024,Store_5,Produce,13,8.73,South
19/01/2024,Store_5,Produce,142,43.31,South
20/01/2024,Store_5,Bakery,188,53.71,South
21/01/2024,Store_5,Beverages,25,89.97,South
22/01/2024,Store_5,Bakery,115,99.77,North
23/01/2024,Store_5,Produce,172,75.59,South
24/01/2024,Store_5,Frozen,82,97.11,West
25/01/2024,Store_5,Dairy,10,78.92,East
26/01/2024,Store_5,Produce,199,96.36,South
27/01/2024,Store_5,Beverages,50,71.02,East
28/01/2024,Store_5,Produce,172,8.9,South
29/01/2024,Store_5,Beverages,142,40.79,North
30/01/2024,Store_5,Beverages,15,65.01,East
31/01/2024,Store_5,Beverages,16,35.72,North
01/02/2024,Store_5,Bakery,2,28.07,South
02/02/2024,Store_5,Frozen,158,58.16,West
03/02/2024,Store_5,Produce,30,93.42,West
04/02/2024,Store_5,Frozen,82,4.46,West
05/02/2024,Store_5,Dairy,31,77.15,West
06/02/2024,Store_5,Produce,77,72.55,West
07/02/2024,Store_5,Frozen,148,96.43,North
08/02/2024,Store_5,Frozen,177,93.14,West
09/02/2024,Store_5,Dairy,114,76.46,South
10/02/2024,Store_5,Beverages,35,52.52,North
11/02/2024,Store_5,Produce,23,21.22,North
12/02/2024,Store_5,Produce,106,54.98,West
13/02/2024,Store_5,Dairy,97,76.77,East
14/02/2024,Store_5,Beverages,115,89.67,South
15/02/2024,Store_5,Produce,100,79.18,North
16/02/2024,Store_5,Produce,189,20.33,South
17/02/2024,Store_5,Produce,55,60.37,East
18/02/2024,Store_5,Beverages,195,33.89,North
19/02/2024,Store_5,Dairy,8,1.91,South
20/02/2024,Store_5,Produce,168,20.82,West
21/02/2024,Store_5,Frozen,59,12.21,North
22/02/2024,Store_5,Beverages,128,84.43,North
23/02/2024,Store_5,Bakery,32,26.59,North
24/02/2024,Store_5,Dairy,93,29.19,North
25/02/2024,Store_5,Frozen,7,96.03,West
26/02/2024,Store_5,Produce,2,38.53,East
27/02/2024,Store_5,Bakery,85,1.95,East
28/02/2024,Store_5,Dairy,134,29.1,South
29/02/2024,Store_5,Beverages,106,12.81,West
01/03/2024,Store_5,Bakery,36,11.18,West
02/03/2024,Store_5,Bakery,160,8.67,South
03/03/2024,Store_5,Frozen,45,59.73,West
04/03/2024,Store_5,Dairy,42,19.75,West
05/03/2024,Store_5,Frozen,53,36.76,North
06/03/2024,Store_5,Frozen,110,86.34,North
07/03/2024,Store_5,Produce,9,43.01,North
08/03/2024,Store_5,Beverages,87,91.65,West
09/03/2024,Store_5,Bakery,114,50.3,West
10/03/2024,Store_5,Dairy,75,40.48,East
11/03/2024,Store_5,Beverages,177,75.29,North
12/03/2024,Store_5,Beverages,130,8.24,South
13/03/2024,Store_5,Dairy,195,9.86,West
14/03/2024,Store_5,Beverages,11,65.55,North
15/03/2024,Store_5,Produce,50,49.21,East
16/03/2024,Store_5,Beverages,163,79.25,North
17/03/2024,Store_5,Produce,122,91.71,East
18/03/2024,Store_5,Bakery,143,39.45,East
19/03/2024,Store_5,Bakery,75,60.04,West
20/03/2024,Store_5,Frozen,31,50.57,East
21/03/2024,Store_5,Produce,92,98.18,East
22/03/2024,Store_5,Bakery,190,83.28,South
23/03/2024,Store_5,Beverages,156,91.26,East
24/03/2024,Store_5,Dairy,153,26.18,South
25/03/2024,Store_5,Dairy,92,77.48,South
26/03/2024,Store_5,Produce,153,27.28,North
27/03/2024,Store_5,Frozen,75,21.67,North
28/03/2024,Store_5,Beverages,92,94.48,West
29/03/2024,Store_5,Produce,129,2.91,West
30/03/2024,Store_5,Dairy,187,96.57,West
31/03/2024,Store_5,Produce,197,15.78,East
01/01/2024,Store_6,Beverages,42,82.12,North
02/01/2024,Store_6,Bakery,110,28.32,East
03/01/2024,Store_6,Beverages,162,35.72,North
04/01/2024,Store_6,Bakery,194,22.46,East
05/01/2024,Store_6,Bakery,18,58.97,West
06/01/2024,Store_6,Bakery,77,35.46,North
07/01/2024,Store_6,Produce,133,66.08,North
08/01/2024,Store_6,Dairy,20,2.55,South
09/01/2024,Store_6,Produce,194,7.37,North
10/01/2024,Store_6,Dairy,127,10.87,North
11/01/2024,Store_6,Beverages,75,42.48,East
12/01/2024,Store_6,Frozen,62,81.66,West
13/01/2024,Store_6,Beverages,32,88.93,South
14/01/2024,Store_6,Produce,186,25.24,East
15/01/2024,Store_6,Produce,178,57.86,North
16/01/2024,Store_6,Dairy,166,77.07,East
17/01/2024,Store_6,Produce,183,29.59,West
18/01/2024,Store_6,Bakery,28,41.49,South
19/01/2024,Store_6,Produce,74,52.87,East
20/01/2024,Store_6,Dairy,81,14.35,North
21/01/2024,Store_6,Dairy,22,3.57,East
22/01/2024,Store_6,Bakery,171,16.13,North
23/01/2024,Store_6,Dairy,164,63.06,South
24/01/2024,Store_6,Frozen,96,8.29,South
25/01/2024,Store_6,Beverages,122,19.78,East
26/01/2024,Store_6,Produce,123,34.45,South
27/01/2024,Store_6,Frozen,52,8.71,West
28/01/2024,Store_6,Produce,164,19.98,East
29/01/2024,Store_6,Frozen,156,91.22,North
30/01/2024,Store_6,Produce,78,2.91,East
31/01/2024,Store_6,Bakery,186,65.69,North
01/02/2024,Store_6,Dairy,164,39.06,South
02/02/2024,Store_6,Dairy,70,67.59,North
03/02/2024,Store_6,Bakery,137,59.28,North
04/02/2024,Store_6,Frozen,21,23.13,North
05/02/2024,Store_6,Beverages,64,84.87,North
06/02/2024,Store_6,Frozen,76,49.7,West
07/02/2024,Store_6,Dairy,61,82.43,North
08/02/2024,Store_6,Beverages,95,41.2,East
09/02/2024,Store_6,Produce,40,98.48,West
10/02/2024,Store_6,Beverages,184,77.28,North
11/02/2024,Store_6,Frozen,4,96.63,North
12/02/2024,Store_6,Bakery,31,51.92,North
13/02/2024,Store_6,Produce,155,47.9,West
14/02/2024,Store_6,Frozen,186,75.79,North
15/02/2024,Store_6,Produce,153,88.15,North
16/02/2024,Store_6,Beverages,69,96.45,North
17/02/2024,Store_6,Dairy,70,33.13,South
18/02/2024,Store_6,Frozen,5,80.07,East
19/02/2024,Store_6,Bakery,115,21.85,North
20/02/2024,Store_6,Beverages,91,55.01,East
21/02/2024,Store_6,Frozen,8,18.8,South
22/02/2024,Store_6,Bakery,9,35.39,South
23/02/2024,Store_6,Frozen,15,93.2,North
24/02/2024,Store_6,Beverages,105,15.46,East
25/02/2024,Store_6,Frozen,7,63.61,West
26/02/2024,Store_6,Produce,72,59.7,North
27/02/2024,Store_6,Beverages,115,12.95,West
28/02/2024,Store_6,Frozen,15,33.27,South
29/02/2024,Store_6,Dairy,165,56.74,South
01/03/2024,Store_6,Frozen,83,19.53,East
02/03/2024,Store_6,Produce,39,80.26,West
03/03/2024,Store_6,Bakery,134,97.24,West
04/03/2024,Store_6,Bakery,57,22.26,North
05/03/2024,Store_6,Bakery,92,19.5,East
06/03/2024,Store_6,Dairy,81,46.04,East
07/03/2024,Store_6,Produce,147,75.03,West
08/03/2024,Store_6,Beverages,127,28.88,South
09/03/2024,Store_6,Bakery,191,2.97,East
10/03/2024,Store_6,Produce,159,54.58,South
11/03/2024,Store_6,Frozen,75,95.7,North
12/03/2024,Store_6,Dairy,79,39.74,East
13/03/2024,Store_6,Produce,10,42.59,East
14/03/2024,Store_6,Produce,107,96.92,North
15/03/2024,Store_6,Beverages,87,69.77,East
16/03/2024,Store_6,Produce,67,72.2,West
17/03/2024,Store_6,Beverages,62,56.71,West
18/03/2024,Store_6,Dairy,131,97.49,North
19/03/2024,Store_6,Dairy,146,69.2,South
20/03/2024,Store_6,Frozen,153,89.61,South
21/03/2024,Store_6,Beverages,107,70.24,East
22/03/2024,Store_6,Beverages,148,73.78,South
23/03/2024,Store_6,Bakery,186,29.75,South
24/03/2024,Store_6,Bakery,93,31.04,North
25/03/2024,Store_6,Frozen,86,78.52,South
26/03/2024,Store_6,Dairy,178,30.37,South
27/03/2024,Store_6,Bakery,121,56.71,South
28/03/2024,Store_6,Produce,79,25.69,West
29/03/2024,Store_6,Dairy,10,81.88,West
30/03/2024,Store_6,Produce,149,11.94,North
31/03/2024,Store_6,Beverages,29,83.12,East
01/01/2024,Store_7,Dairy,96,60.67,North
02/01/2024,Store_7,Frozen,10,19.5,East
03/01/2024,Store_7,Beverages,13,54.66,East
04/01/2024,Store_7,Beverages,47,28.97,South
05/01/2024,Store_7,Produce,151,33.02,South
06/01/2024,Store_7,Beverages,50,35.8,North
07/01/2024,Store_7,Bakery,132,7.27,North
08/01/2024,Store_7,Dairy,116,98.61,North
09/01/2024,Store_7,Bakery,113,4.12,West
10/01/2024,Store_7,Produce,195,66.59,West
11/01/2024,Store_7,Produce,85,37.75,West
12/01/2024,Store_7,Dairy,53,64.96,West
13/01/2024,Store_7,Beverages,130,36.27,West
14/01/2024,Store_7,Frozen,68,67.7,South
15/01/2024,Store_7,Produce,193,73.19,East
16/01/2024,Store_7,Dairy,79,69.36,West
